created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-11 06:22:55 UTC,110,0.0,0.0,0.0,0.02,22.16,67.18,-513.0,22.8
2018-04-11 06:32:55 UTC,111,0.0,0.0,0.0,0.02,22.35,65.83,-513.0,22.8
2018-04-11 06:42:54 UTC,112,0.0,0.0,0.0,0.02,22.63,65.52,-513.0,22.8
2018-04-11 06:52:54 UTC,113,0.0,0.0,0.0,0.02,22.62,65.55,-513.0,22.8
2018-04-11 07:02:54 UTC,114,0.0,0.0,0.0,0.02,22.12,66.72,-514.0,22.74
2018-04-11 07:12:53 UTC,115,0.0,0.0,0.0,0.02,22.06,66.71,-513.0,22.74
2018-04-11 07:22:53 UTC,116,0.0,0.0,0.0,0.02,21.9,67.24,-514.0,22.74
2018-04-11 07:32:52 UTC,117,0.0,0.0,0.0,0.02,21.91,66.64,-514.0,22.69
2018-04-11 07:42:52 UTC,118,0.0,0.0,0.0,0.02,22.36,65.37,-514.0,22.69
2018-04-11 07:52:51 UTC,119,0.0,0.0,0.0,0.02,22.24,65.87,-514.0,22.69
2018-04-11 08:02:50 UTC,120,0.0,0.0,0.0,0.02,22.18,66.31,-514.0,22.63
2018-04-11 08:12:50 UTC,121,0.0,0.0,0.0,0.02,21.86,66.85,-514.0,22.63
2018-04-11 08:22:49 UTC,122,0.0,0.0,0.0,0.02,21.76,66.98,-514.0,22.63
2018-04-11 08:32:49 UTC,123,0.0,0.0,0.0,-0.02,21.71,67.6,-515.0,22.58
2018-04-11 08:42:48 UTC,124,0.0,0.0,0.0,-0.0,22.14,65.84,-514.0,22.58
2018-04-11 08:52:48 UTC,125,0.0,0.0,0.0,0.02,22.28,65.32,-514.0,22.58
2018-04-11 09:02:47 UTC,126,0.0,0.0,0.0,0.02,22.17,66.28,-514.0,22.52
2018-04-11 09:12:47 UTC,127,0.0,0.0,0.0,0.05,21.83,66.57,-514.0,22.52
2018-04-11 09:22:46 UTC,128,0.0,0.0,0.0,0.02,21.92,67.07,-514.0,22.52
2018-04-11 09:32:46 UTC,129,0.0,0.0,0.0,0.02,22.0,65.97,-515.0,22.52
2018-04-11 09:42:45 UTC,130,0.0,0.0,0.0,0.02,22.16,65.18,-514.0,22.47
2018-04-11 09:52:45 UTC,131,0.0,0.0,0.0,0.02,22.14,64.91,-514.0,22.52
2018-04-11 10:02:44 UTC,132,0.0,0.0,0.0,0.02,21.84,67.09,-515.0,22.47
2018-04-11 10:12:43 UTC,133,0.0,0.0,0.0,0.02,22.31,65.18,-514.0,22.47
2018-04-11 10:22:43 UTC,134,0.0,0.0,0.0,0.02,22.0,65.45,-514.0,22.42
2018-04-11 10:32:42 UTC,135,0.0,0.0,0.0,0.02,22.31,65.58,-514.0,22.42
2018-04-11 10:42:42 UTC,136,0.0,0.0,0.0,0.02,21.61,68.05,-514.0,22.42
2018-04-11 10:52:42 UTC,137,1.0,0.0,14.0,0.02,21.32,70.39,-514.0,22.42
2018-04-11 11:02:41 UTC,138,1.0,1.0,6.0,0.02,21.82,69.01,-515.0,22.42
2018-04-11 11:12:41 UTC,139,7.0,2.0,96.0,0.02,22.04,68.47,-515.0,22.36
2018-04-11 11:22:40 UTC,140,12.0,4.0,161.0,0.02,21.48,70.57,-515.0,22.36
2018-04-11 11:32:40 UTC,141,20.0,7.0,266.0,0.05,21.77,69.54,-514.0,22.31
2018-04-11 11:42:43 UTC,142,36.0,13.0,474.0,0.05,21.76,69.22,-515.0,22.25
2018-04-11 11:52:41 UTC,143,52.0,18.0,692.0,0.05,21.25,71.02,-515.0,22.2
2018-04-11 12:02:45 UTC,144,75.0,26.0,998.0,0.05,20.71,71.87,-515.0,22.2
2018-04-11 12:12:37 UTC,145,88.0,31.0,1166.0,0.06,21.5,70.19,-515.0,22.15
2018-04-11 12:22:36 UTC,146,105.0,39.0,1374.0,0.14,21.44,70.31,-514.0,22.09
2018-04-11 15:47:13 UTC,147,2062.0,834.0,26360.0,0.58,23.91,67.25,-501.0,22.8
2018-04-11 15:57:14 UTC,148,3289.0,1297.0,26360.0,0.95,22.76,69.13,-500.0,22.9
2018-04-11 16:07:18 UTC,149,3483.0,1453.0,26360.0,1.02,22.89,65.81,-499.0,22.96
2018-04-11 16:17:19 UTC,150,2609.0,1011.0,26360.0,0.97,23.0,66.13,-499.0,23.01
2018-04-11 16:27:21 UTC,151,2333.0,987.0,29432.0,0.62,22.24,67.71,-497.0,23.07
2018-04-11 16:37:23 UTC,152,3499.0,1389.0,29432.0,0.99,24.28,61.22,-496.0,23.12
2018-04-11 16:47:26 UTC,153,3144.0,1792.0,29432.0,1.28,23.12,64.7,-496.0,23.23
2018-04-11 16:57:29 UTC,154,3540.0,1351.0,29432.0,1.02,23.28,66.25,-495.0,23.28
2018-04-11 17:07:32 UTC,155,2201.0,891.0,28130.0,0.58,23.02,67.05,-495.0,23.34
2018-04-11 17:17:35 UTC,156,2037.0,834.0,25949.0,0.54,21.87,71.7,-495.0,23.39
2018-04-11 17:27:37 UTC,157,3158.0,1778.0,25949.0,1.4,22.84,68.39,-496.0,23.44
2018-04-11 17:37:40 UTC,158,3158.0,4936.0,847.0,2.35,24.43,63.43,-491.0,23.61
2018-04-11 17:47:44 UTC,159,2377.0,888.0,31050.0,0.71,23.93,64.12,-491.0,23.66
2018-04-11 17:57:47 UTC,160,2590.0,2346.0,19509.0,1.65,24.33,64.13,-488.0,23.77
2018-04-11 18:07:51 UTC,161,2590.0,4936.0,847.0,2.6,24.44,62.63,-485.0,23.93
2018-04-11 18:17:57 UTC,162,1596.0,3340.0,5666.0,1.58,25.07,59.65,-482.0,24.09
2018-04-11 18:28:03 UTC,163,3171.0,1199.0,5666.0,0.76,24.65,61.51,-479.0,24.31
2018-04-11 18:38:10 UTC,164,3171.0,4935.0,847.0,1.9,24.75,61.62,-477.0,24.53
2018-04-11 18:58:21 UTC,165,2851.0,1059.0,24892.0,0.88,24.76,57.65,-478.0,24.74
2018-04-11 19:08:24 UTC,166,1163.0,495.0,14645.0,0.27,23.9,64.01,-479.0,24.8
2018-04-11 19:18:27 UTC,167,2849.0,1105.0,14645.0,0.84,23.76,65.67,-481.0,24.85
2018-04-11 19:28:30 UTC,168,2852.0,1041.0,14645.0,0.88,24.36,63.88,-481.0,24.85
